SWR,Manhole From,Manhole To,Start GL,Stop GL,Length Swr,dia,Slope,Start IL ,Stop IL,Manhole From GL,Manhole From IL,Manhole Distance
SWR-736,A13-16A-04,A13-16A-03,8.8,8.51,43,600,800,6.61,6.56,8.8,6.38,0
SWR-737,A13-16A-03,A13-16A-02,8.51,8.55,73.6,600,800,6.25,6.15,8.51,6.25,43
SWR-739,A13-16A-02,A13-16A-01,8.55,8.35,68.6,600,800,6.15,6.07,8.55,6.15,73.6
SWR-740,A13-16A-01,A13-16-03,8.35,8.28,69.6,600,650,6.07,5.96,8.35,6.07,68.6
SWR-741,A13-16-02,A13-16-03,7.96,8.28,78.2,600,632,4.06,4.19,7.96,3.52,69.6
SWR-742(1),A13-16-02,A13-16,7.96,8.25,63.7,600,597,3.52,3.41,7.96,3.52,78.2
SWR-742(2),A13-16,A13-15,8.25,8.70,97,1200,2000,2.87,2.82,8.25,2.87,63.7
SWR-750,A13-15,A13-14,8.7,7.34,235,1200,2000,2.82,2.71,8.7,2.82,97
SWR-762,A13-14,A13-13,7.34,7.69,141,1200,2000,2.71,2.64,7.34,2.71,235
SWR-770,A13-13,A13-12,7.69,7.62,135,1200,2000,2.64,2.57,7.69,2.64,141
SWR-771,A13-12,A13-11,7.62,7.01,168,1200,1500,2.57,2.46,7.62,2.57,135
SWR-787,A13-11,A13-10,7.01,6.23,80,1200,1500,1.46,1.41,7.01,1.46,168
SWR-803,A13-10,A13-09,6.23,5.78,159,1200,1500,1.41,1.3,6.23,1.41,80
SWR-1022,A13-09,A13-08,5.78,5.33,203,1200,2000,0.85,0.74,5.78,0.59,159
SWR-1027,A13-08,A13-07,5.33,5.00,181,1200,2000,0.74,0.65,5.33,0.74,203
SWR-1028,A13-07,A13-06,5,4.20,203,1200,2000,0.65,0.55,5,0.65,181
SWR-1185,A13-06,A13-05,4.2,4.15,89,1200,2000,0.55,0.51,4.2,0.55,203
SWR-1186,A13-05,A13-04,4.15,4.10,221,1200,2000,0.51,0.4,4.15,0.51,89
SWR-1191,A13-04,A13-03,4.1,4.20,210,1200,2000,-1.32,-1.43,4.1,-1.32,221
SWR-1327,A13-03,A13-02,4.2,4.00,202,1500,2021,-5.31,-5.41,4.2,-5.31,210
SWR-1355,A13-02,A13-01,4,4.06,144,1500,1978,-5.41,-5.48,4,-5.41,202
SWR-1471,A13-01,A13,4.06,3.99,190,1500,2003,-5.48,-5.58,4.06,-5.48,144
SWR-1488,A13,A12,3.99,4.66,137,2100,1991,-6.09,-6.16,3.99,-6.09,190
SWR-1616,A12,A11,4.66,4.15,112,2100,2000,-9.1,-9.16,4.66,-9.1,137
SWR-1648,A11,A10,4.15,4.00,266,2100,2000,-9.16,-9.29,4.15,-9.16,112
SWR-1649,A10,A09,4,4.00,191,2100,2000,-9.29,-9.39,4,-9.29,266
SWR-1650,A09,A08,4,3.88,198,2100,1989,-9.39,-9.49,4,-9.39,191
SWR-1733,A08,A07,3.88,4.36,170,2100,2013,-9.49,-9.57,3.88,-9.49,198
SWR-1734,A07,A06,4.36,4.50,229,2100,2000,-9.57,-9.68,4.36,-9.57,170
SWR-1735,A06,A05,4.5,3.96,151,2100,2000,-9.68,-9.76,4.5,-9.68,229
SWR-1736,A05,A04,3.96,4.22,195,2100,2000,-9.76,-9.86,3.96,-9.76,151
SWR-1737,A04,A03,4.22,4.44,67,2100,2000,-9.86,-9.89,4.22,-9.86,195
SWR-1801,A03,A02,4.44,4.00,218,2100,2000,-9.89,-10,4.44,-9.89,67
SWR-1802,A02,A01,4,4.36,135,2100,2000,-10,-10.07,4,-10,218
SWR-1803,A01,A00,4.36,4.36,61,2100,2000,-10.07,-10.1,4.36,-10.07,135
,A00,,,,0,,,,,4.36,10.1,61
