Label,Start Node,Stop Node,"Elevation Ground (Start)
(m)","Elevation Ground (Stop)
(m)","Length (Scaled)
(m)","Diameter
(mm)","Slope (Calculated)
(1/S)","Invert (Start)
(m)","Invert (Stop)
(m)",Manhole GL,Manhole From IL,Manhole Distance,chainage,Manhole To IL
SWR-271,A13-03A-14,A13-03A-13,4.20,3.64,74.0,1200,2465,-4.00,-4.03,4.20,-4.00,0.0,0.0,-4.03
SWR-275,A13-03A-13,A13-03A-12,3.64,4.03,161.1,1200,2014,-4.03,-4.11,3.64,-4.03,74.0,74.0,-4.11
SWR-456,A13-03A-12,A13-03A-11,4.03,3.94,60.0,1200,2000,-4.11,-4.14,4.03,-4.11,235.1,235.1,-4.14
SWR-464,A13-03A-11,A13-03A-10,3.94,4.02,137.9,1200,1970,-4.14,-4.21,3.94,-4.14,295.1,295.1,-4.21
SWR-468,A13-03A-10,A13-03A-09,4.02,3.94,140.7,1200,2010,-4.21,-4.28,4.02,-4.21,433.0,433.0,-4.28
SWR-494,A13-03A-09,A13-03A-08,3.94,4.12,73.4,1200,1882,-4.28,-4.32,3.94,-4.28,573.7,573.7,-4.32
SWR-524,A13-03A-08,A13-03A-07,4.12,4.45,218.0,1200,2018,-4.32,-4.43,4.12,-4.32,647.1,647.1,-4.43
SWR-536,A13-03A-07,A13-03A-05,4.45,4.35,276.4,1200,2078,-4.43,-4.56,4.45,-4.43,865.1,865.1,-4.56
SWR-592,A13-03A-05,A13-03A-04,4.35,4.10,123.2,1200,2054,-4.56,-4.62,4.35,-4.56,1141.5,1141.5,-4.62
SWR-649,A13-03A-04,A13-03A-03,4.10,3.87,152.8,1200,1717,-4.62,-4.71,4.10,-4.62,1264.7,1264.7,-4.71
SWR-674,A13-03A-03,A13-03A-02,3.87,3.74,106.3,1200,1865,-4.71,-4.77,3.87,-4.71,1417.5,1417.5,-4.77
SWR-689,A13-03A-02,A13-03A-01,3.74,3.59,188.3,1200,1941,-4.77,-4.86,3.74,-4.77,1523.8,1523.8,-4.86
SWR-695,A13-03A-01,A13-03,3.59,4.20,273.3,1200,1995,-4.86,-5.00,3.59,-4.86,1712.1,1712.1,-5.30
